data1,data2,data3
1,1,250
1,1,143
1,-1,201
1,1,142
1,1,123
0,-1,216
1,1,63
0,-1,295
0,1,247
1,1,180
1,1,51
1,-1,131
0,-1,46
1,-1,236
1,1,300
1,-1,28
1,1,112
0,-1,1
1,1,214
1,-1,5
0,-1,127
1,1,196
0,-1,91
0,1,15
1,-1,152
1,1,203
1,1,198
1,-1,115
0,-1,104
1,1,151
0,1,19
1,-1,226
0,1,25
0,1,163
1,-1,272
0,-1,258
1,1,36
1,-1,278
1,1,67
1,1,200
1,1,71
0,-1,222
0,1,290
1,-1,124
0,1,243
0,-1,35
0,-1,10
1,-1,251
1,-1,227
1,-1,166
0,1,212
1,1,191
0,-1,119
1,-1,49
1,1,34
0,1,148
0,1,190
0,1,144
1,1,32
0,1,102
0,-1,134
0,-1,270
0,1,132
0,-1,83
0,1,24
0,-1,103
0,-1,262
0,1,52
0,1,99
0,-1,285
0,-1,153
0,-1,209
0,1,12
0,1,20
0,1,90
1,-1,283
1,-1,129
1,1,140
1,1,240
1,1,109
1,-1,205
0,-1,130
1,1,165
1,-1,95
1,-1,186
0,-1,122
1,1,273
1,1,232
1,1,38
0,-1,169
1,-1,37
0,1,128
1,-1,55
0,1,33
0,1,149
1,-1,98
0,-1,241
1,1,182
0,1,274
0,1,135
1,1,65
1,1,41
1,1,155
0,1,45
1,1,117
0,1,43
0,1,150
1,-1,105
1,-1,146
0,-1,235
0,1,282
0,-1,179
1,1,133
0,-1,237
1,-1,254
1,-1,75
0,-1,58
1,-1,66
0,-1,252
0,-1,6
1,-1,27
0,-1,9
1,1,239
1,1,59
0,1,85
0,1,158
1,1,268
1,-1,184
1,1,280
0,-1,126
1,1,276
1,1,185
0,-1,230
0,-1,113
0,1,114
1,-1,202
0,1,73
0,1,228
1,-1,18
0,1,259
0,1,56
1,-1,208
0,1,211
0,-1,26
0,1,219
1,1,74
1,-1,81
1,-1,47
0,1,54
1,1,238
1,-1,173
0,1,97
1,1,76
0,1,218
1,-1,160
0,1,246
1,1,107
1,-1,279
0,-1,223
0,1,92
1,1,175
0,-1,296
1,-1,159
1,1,69
1,-1,68
0,1,70
0,-1,249
1,-1,231
1,-1,224
0,1,86
0,1,225
1,-1,194
1,1,80
0,1,199
0,-1,154
1,1,4
0,1,138
0,-1,193
0,-1,100
1,-1,40
0,-1,77
0,1,267
0,1,50
1,1,260
1,1,192
0,-1,141
0,-1,271
0,1,172
1,1,30
0,-1,145
0,1,23
0,1,16
0,1,221
0,1,248
1,-1,108
1,-1,255
0,-1,7
0,-1,266
0,1,204
0,-1,120
1,-1,269
0,-1,261
0,1,139
1,1,233
1,1,111
1,-1,284
1,-1,64
1,1,281
0,1,147
0,1,206
0,-1,8
0,-1,289
1,-1,78
0,1,11
1,-1,2
1,1,164
0,-1,84
0,-1,242
0,1,245
1,1,162
0,1,195
0,1,44
0,-1,89
0,-1,61
1,-1,215
0,-1,29
0,-1,116
1,-1,229
0,1,244
0,1,39
0,-1,176
0,-1,277
1,1,121
0,-1,171
0,1,264
0,1,31
1,-1,288
0,1,125
0,1,174
0,1,82
0,1,286
0,1,21
0,-1,197
0,-1,207
0,-1,14
0,-1,257
0,1,110
0,1,101
0,-1,22
1,-1,181
0,1,13
0,-1,183
0,-1,292
1,-1,263
0,-1,79
0,1,72
0,1,213
0,1,177
0,1,293
0,1,60
0,-1,106
0,-1,256
0,1,178
0,-1,96
0,-1,265
0,-1,118
1,-1,210
0,-1,187
1,-1,299
0,-1,53
0,-1,88
0,-1,294
0,-1,188
0,-1,156
0,1,189
0,-1,297
0,-1,136
0,1,87
0,-1,94
0,-1,291
0,1,220
0,1,298
0,-1,287
1,1,137
0,-1,234
0,1,42
0,1,48
0,-1,253
0,1,275
0,1,3
0,-1,170
0,1,62
0,-1,167
0,1,93
0,-1,57
0,-1,168
0,1,161
0,-1,217
0,-1,17
0,-1,157
